Data,P2,P3,TOTAL,DIFERENCA_1
2025-12-18,101,300,401,112.0
2025-12-19,34,358,392,-9.0
2025-12-20,64,339,403,11.0
2025-12-21,32,434,466,63.0
2025-12-22,181,624,805,339.0
2025-12-23,83,565,648,-157.0
2025-12-24,35,516,551,-97.0
2025-12-25,20,379,399,-152.0
2025-12-26,34,420,454,55.0
2025-12-27,53,502,555,101.0
2025-12-28,46,391,437,-118.0
2025-12-29,57,515,572,135.0
2025-12-30,29,468,497,-75.0
2025-12-31,15,372,387,-110.0
